scene,rep,miou_query,f1_query
Cantina,0,0.565456,0.715674
Cantina,1,0.565506,0.715716
Cantina,2,0.565522,0.715722
Cantina,3,0.565422,0.715636
Cantina,4,0.565459,0.715678
Garden,0,0.457144,0.616305
Garden,1,0.457143,0.616312
Garden,2,0.457192,0.616354
Garden,3,0.444339,0.603838
Garden,4,0.444321,0.603824
Lounge,0,0.534520,0.691104
Lounge,1,0.534481,0.691071
Lounge,2,0.534542,0.691122
Lounge,3,0.534502,0.691089
Lounge,4,0.534499,0.691087
Lunch_room,0,0.371329,0.526413
Lunch_room,1,0.371356,0.526442
Lunch_room,2,0.371349,0.526444
Lunch_room,3,0.371376,0.526433
Lunch_room,4,0.371461,0.526534
Meeting_room,0,0.515129,0.675821
Meeting_room,1,0.515116,0.675812
Meeting_room,2,0.515156,0.675844
Meeting_room,3,0.515199,0.675883
Meeting_room,4,0.515085,0.675785
Playground,0,0.359035,0.515192
Playground,1,0.358998,0.515160
Playground,2,0.358985,0.515142
Playground,3,0.358992,0.515152
Playground,4,0.358943,0.515102
Porch,0,0.604052,0.745483
Porch,1,0.604010,0.745443
Porch,2,0.604062,0.745488
Porch,3,0.604087,0.745510
Porch,4,0.604006,0.745443
Pots,0,0.611613,0.755510
Pots,1,0.611609,0.755507
Pots,2,0.611617,0.755514
Pots,3,0.611621,0.755516
Pots,4,0.611638,0.755529
Printing_area,0,0.686630,0.811814
Printing_area,1,0.686725,0.811881
Printing_area,2,0.686890,0.811990
Printing_area,3,0.686644,0.811827
Printing_area,4,0.686822,0.811942
Zen,0,0.536816,0.664370
Zen,1,0.536816,0.664372
Zen,2,0.536807,0.664361
Zen,3,0.536813,0.664376
Zen,4,0.536832,0.664383
