scene,rep,miou_query,f1_query
Garden,0,0.419446,0.589176
Garden,1,0.419421,0.589154
Garden,2,0.419383,0.589115
Garden,3,0.419437,0.589169
Lounge,0,0.457332,0.619953
Garden,4,0.419450,0.589180
Meeting_room,0,0.477580,0.639858
Cantina,0,0.528209,0.683499
Pots,0,0.586424,0.734717
Lounge,1,0.457349,0.619968
Playground,0,0.333496,0.485818
Meeting_room,1,0.477865,0.640125
Porch,0,0.561740,0.713130
Cantina,1,0.528018,0.683356
Pots,1,0.586485,0.734768
Lounge,2,0.457372,0.619991
Meeting_room,2,0.477482,0.639760
Playground,1,0.333483,0.485809
Porch,1,0.561849,0.713232
Lunch_room,0,0.363451,0.520668
Cantina,2,0.527988,0.683339
Pots,2,0.586420,0.734713
Lounge,3,0.457388,0.620004
Meeting_room,3,0.477457,0.639757
Playground,2,0.333472,0.485796
Porch,2,0.561788,0.713183
Cantina,3,0.528161,0.683461
Pots,3,0.586472,0.734758
Lunch_room,1,0.363301,0.520520
Lounge,4,0.457363,0.619979
Meeting_room,4,0.477745,0.640004
Playground,3,0.333524,0.485845
Porch,3,0.561746,0.713143
Cantina,4,0.528062,0.683388
Pots,4,0.586476,0.734760
Lunch_room,2,0.363204,0.520393
Playground,4,0.333460,0.485782
Porch,4,0.561782,0.713177
Lunch_room,3,0.363284,0.520477
Lunch_room,4,0.363469,0.520670
Printing_area,0,0.575243,0.727558
Printing_area,1,0.575185,0.727516
Zen,0,0.521377,0.662843
Printing_area,2,0.575247,0.727563
Zen,1,0.521371,0.662839
Printing_area,3,0.575148,0.727486
Zen,2,0.521336,0.662811
Printing_area,4,0.575151,0.727488
Zen,3,0.521305,0.662782
Zen,4,0.521319,0.662793
