scene,frame,image,gt_area_pct,cue_area_pct,precision,recall,iou,fp_frac_of_pred,miss_frac_of_gt,fp_area_pct,fn_area_pct
Cantina,0,Inst_1_test_IMG_2863,2.7968,25.1146,0.0986,0.8851,0.0973,0.9014,0.1149,22.6392,0.3214
Cantina,1,Inst_1_test_IMG_2865,3.8977,20.1039,0.1623,0.8369,0.1573,0.8377,0.1631,16.8420,0.6358
Cantina,2,Inst_1_test_IMG_2868,5.3242,17.9668,0.2868,0.9679,0.2841,0.7132,0.0321,12.8137,0.1711
Cantina,3,Inst_1_test_IMG_2870,16.3488,21.5390,0.5775,0.7608,0.4887,0.4225,0.2392,9.1007,3.9105
Cantina,4,Inst_1_test_IMG_2871,13.1420,28.6943,0.4121,0.8998,0.3941,0.5879,0.1002,16.8686,1.3163
Cantina,5,Inst_1_test_IMG_2873,8.2152,26.5308,0.2851,0.9208,0.2783,0.7149,0.0792,18.9663,0.6507
Cantina,6,Inst_1_test_IMG_2874,10.4909,25.9048,0.3836,0.9473,0.3756,0.6164,0.0527,15.9666,0.5527
Cantina,7,Inst_1_test_IMG_2876,2.3386,17.8650,0.1251,0.9559,0.1244,0.8749,0.0441,15.6295,0.1031
Cantina,8,Inst_1_test_IMG_2878,5.3132,12.9155,0.4014,0.9757,0.3974,0.5986,0.0243,7.7316,0.1293
Cantina,9,Inst_1_test_IMG_2880,11.4645,39.0145,0.2921,0.9942,0.2916,0.7079,0.0058,27.6166,0.0667
Cantina,10,Inst_1_test_IMG_2882,5.8721,27.3162,0.2109,0.9811,0.2101,0.7891,0.0189,21.5549,0.1108
Cantina,11,Inst_1_test_IMG_2883,5.3234,34.9656,0.1470,0.9658,0.1463,0.8530,0.0342,29.8245,0.1823
Cantina,12,Inst_1_test_IMG_2887,4.4356,17.9469,0.2328,0.9418,0.2295,0.7672,0.0582,13.7694,0.2581
Cantina,13,Inst_1_test_IMG_2889,4.8028,18.1308,0.2580,0.9738,0.2562,0.7420,0.0262,13.4536,0.1256
Cantina,14,Inst_1_test_IMG_2890,8.9132,26.0358,0.3374,0.9856,0.3358,0.6626,0.0144,17.2507,0.1281
Cantina,15,Inst_1_test_IMG_2891,5.9359,26.3577,0.2220,0.9857,0.2213,0.7780,0.0143,20.5068,0.0850
Cantina,16,Inst_1_test_IMG_2895,11.8680,24.0104,0.4453,0.9010,0.4246,0.5547,0.0990,13.3174,1.1751
Cantina,17,Inst_1_test_IMG_2900,5.7387,21.0421,0.2660,0.9752,0.2642,0.7340,0.0248,15.4457,0.1424
Cantina,18,Inst_1_test_IMG_2901,9.4706,21.1140,0.3971,0.8853,0.3777,0.6029,0.1147,12.7297,1.0864
