scene,frame,image,tau,npix,gt_pos,pred_pos,tp
Cantina,0,Inst_1_test_IMG_2863,0.1,571536,15985,559596,15985
Cantina,0,Inst_1_test_IMG_2863,0.2,571536,15985,473986,15985
Cantina,0,Inst_1_test_IMG_2863,0.3,571536,15985,336915,15919
Cantina,0,Inst_1_test_IMG_2863,0.4,571536,15985,219168,15326
Cantina,0,Inst_1_test_IMG_2863,0.5,571536,15985,143539,14148
Cantina,0,Inst_1_test_IMG_2863,0.6,571536,15985,89679,12565
Cantina,0,Inst_1_test_IMG_2863,0.7,571536,15985,50004,10973
Cantina,0,Inst_1_test_IMG_2863,0.8,571536,15985,29083,9423
Cantina,0,Inst_1_test_IMG_2863,0.9,571536,15985,16022,7958
Cantina,0,Inst_1_test_IMG_2863,1.0,571536,15985,9079,6673
Cantina,0,Inst_1_test_IMG_2863,1.2,571536,15985,4176,4018
Cantina,0,Inst_1_test_IMG_2863,1.4,571536,15985,1964,1964
Cantina,1,Inst_1_test_IMG_2865,0.1,571536,22277,559987,22277
Cantina,1,Inst_1_test_IMG_2865,0.2,571536,22277,454330,22277
Cantina,1,Inst_1_test_IMG_2865,0.3,571536,22277,302779,21915
Cantina,1,Inst_1_test_IMG_2865,0.4,571536,22277,183407,20841
Cantina,1,Inst_1_test_IMG_2865,0.5,571536,22277,114901,18643
Cantina,1,Inst_1_test_IMG_2865,0.6,571536,22277,72560,16821
Cantina,1,Inst_1_test_IMG_2865,0.7,571536,22277,44198,15274
Cantina,1,Inst_1_test_IMG_2865,0.8,571536,22277,26560,13299
Cantina,1,Inst_1_test_IMG_2865,0.9,571536,22277,15500,10799
Cantina,1,Inst_1_test_IMG_2865,1.0,571536,22277,10522,8823
Cantina,1,Inst_1_test_IMG_2865,1.2,571536,22277,5656,5447
Cantina,1,Inst_1_test_IMG_2865,1.4,571536,22277,2520,2488
Cantina,2,Inst_1_test_IMG_2868,0.1,571536,30430,549087,30430
Cantina,2,Inst_1_test_IMG_2868,0.2,571536,30430,407770,30430
