scene,frame,tox_mass,tox_frac,support,cue_area,marginal,tox_rank,known_toxic
Cantina,0,211802.59,0.9488,0.0592,223234.52,-0.01411,4,False
Cantina,1,195498.64,0.9344,0.0779,209225.84,-0.01832,12,False
Cantina,2,177961.86,0.9079,0.1082,196004.62,-0.04239,21,False
Cantina,3,185405.34,0.8314,0.1967,223010.03,0.00222,16,False
Cantina,4,201962.69,0.8257,0.2077,244585.34,-0.02154,7,False
Cantina,5,196266.53,0.8619,0.1580,227720.77,-0.02453,11,False
Cantina,6,185105.77,0.8043,0.2224,230131.62,-0.04095,17,False
Cantina,7,194243.31,0.9511,0.0575,204237.78,-0.01706,14,False
Cantina,8,155624.52,0.8509,0.1630,182897.95,0.00860,25,False
Cantina,9,234204.06,0.8006,0.2248,292537.16,0.01628,2,False
Cantina,10,204784.69,0.8639,0.1501,237034.33,0.00394,6,False
Cantina,11,234565.03,0.8620,0.1533,272132.94,-0.03245,1,False
Cantina,12,195066.39,0.9086,0.1060,214690.98,0.01605,13,False
Cantina,13,176332.34,0.8619,0.1607,204574.03,-0.01078,22,False
Cantina,14,201067.66,0.8256,0.2115,243543.45,0.00215,9,False
Cantina,15,215547.67,0.8720,0.1513,247188.75,0.01695,3,False
Cantina,16,205916.95,0.8711,0.1579,236391.19,0.00941,5,False
Cantina,17,185541.00,0.8692,0.1614,213450.08,0.02326,15,False
Cantina,18,181330.83,0.8197,0.2129,221214.58,-0.00490,19,False
Cantina,19,162288.06,0.8943,0.1208,181469.31,-0.01596,24,False
Cantina,20,178419.53,0.8652,0.1599,206224.06,0.01930,20,False
Cantina,21,200972.94,0.9394,0.0712,213934.73,-0.00388,10,False
Cantina,22,201754.91,0.7980,0.2403,252835.52,-0.00244,8,False
Cantina,23,173568.55,0.8697,0.1591,199578.84,0.00105,23,False
Cantina,24,184143.94,0.8872,0.1358,207565.12,-0.00146,18,False
Garden,0,107342.80,0.8907,0.1342,120513.03,-0.01664,23,False
Garden,1,156348.77,0.9240,0.0880,169211.30,0.01808,3,False
Garden,2,127911.47,0.9044,0.1069,141439.00,0.00352,7,False
Garden,3,108340.37,0.8987,0.1221,120545.62,-0.01716,21,False
Garden,4,114884.22,0.9290,0.0814,123661.30,0.01068,16,False
Garden,5,122348.02,0.9257,0.0899,132170.83,0.00653,10,False
Garden,6,115796.98,0.9106,0.1162,127162.80,0.00421,14,False
Garden,7,122940.13,0.9196,0.1045,133695.44,0.01025,9,False
Garden,8,93287.14,0.9184,0.0925,101580.77,-0.00161,25,False
Garden,9,110488.31,0.8628,0.1589,128057.06,-0.02501,19,False
Garden,10,200648.67,0.9444,0.0702,212470.91,0.00134,1,False
