scene,combo,greedy_order,miou_online,f1_online,miou_replay,f1_replay,uniform_mean,uniform_best,all25_mean,oracle5,map_percentile
Cantina,0-8-11-19-20,0-8-19-20-11,0.4459832012653351,0.6074069142341614,0.457577109336853,0.6179748773574829,0.43739039999999996,0.475131,0.565473,0.595493,22.912801484230055
Garden,0-2-11-22-23,0-23-11-2-22,0.4435306787490845,0.6056026220321655,0.4627499282360077,0.6275761723518372,0.4805244,0.511207,0.45202780000000004,0.553556,4.423076923076923
Lounge,0-4-16-17-22,0-16-22-4-17,0.5316743850708008,0.6920424103736877,0.5407192707061768,0.7002242207527161,0.5388144,0.572164,0.5345088,0.605091,12.753623188405797
Lunch_room,0-2-3-10-13,0-10-3-13-2,0.3094840943813324,0.4546075463294983,0.33246445655822754,0.48276287317276,0.32339,0.382403,0.3713742,0.429341,28.405797101449277
Meeting_room,0-7-14-21-23,0-21-7-14-23,0.5225183367729187,0.682849645614624,0.5252543091773987,0.6851006150245667,0.5035608,0.531582,0.515137,0.567788,43.38164251207729
Playground,0-8-11-17-20,0-11-20-8-17,0.3889380395412445,0.5484762191772461,0.4018764793872833,0.5624950528144836,0.3817744,0.425808,0.35899059999999994,0.521327,32.64563106796117
Porch,0-4-6-7-22,0-22-6-4-7,0.49055880308151245,0.6516832113265991,0.4746379852294922,0.6359561681747437,0.5342532,0.624264,0.6040433999999999,0.638491,8.599033816425122
Pots,0-7-9-14-16,0-9-16-14-7,0.624015212059021,0.7663952112197876,0.6263366937637329,0.7680782079696655,0.6133744,0.642892,0.6116195999999999,0.661958,49.56521739130435
Printing_area,0-9-14-15-17,0-15-14-17-9,0.5599398612976074,0.7062491774559021,0.5498249530792236,0.6981626152992249,0.5836768,0.628557,0.6867422000000001,0.716546,8.993157380254155
Zen,0-4-14-17-24,0-14-4-17-24,0.45042747259140015,0.5981868505477905,0.4061647355556488,0.5542190074920654,0.4197844,0.547535,0.5368168,0.584978,11.497584541062803
