scene,combo,greedy_order,miou_online,f1_online,miou_replay,f1_replay,uniform_mean,uniform_best,all25_mean,oracle5,map_percentile
Cantina,0-6-14-16-23,0-16-23-14-6,0.4013326168060303,0.5520066618919373,0.3670276701450348,0.5204249024391174,0.43739039999999996,0.475131,0.565473,0.595493,1.0204081632653061
Garden,0-7-17-18-21,0-17-21-18-7,0.4972843825817108,0.6635816097259521,0.49818503856658936,0.6643344163894653,0.4805244,0.511207,0.45202780000000004,0.553556,27.500000000000004
Lounge,0-9-15-16-23,0-9-23-16-15,0.5279363393783569,0.6890150308609009,0.527496337890625,0.6886374950408936,0.5388143999999999,0.572164,0.5345088,0.605091,7.149758454106281
Lunch_room,0-3-17-19-21,0-3-19-21-17,0.3545047640800476,0.5073351860046387,0.3412002623081207,0.49316853284835815,0.32339,0.382403,0.3713742,0.429341,32.463768115942024
Meeting_room,0-1-17-18-19,0-17-18-19-1,0.40310296416282654,0.5672513842582703,0.3603251576423645,0.5194565653800964,0.5035608,0.531582,0.515137,0.567788,0.0
Playground,0-15-17-18-20,0-15-20-18-17,0.4246680438518524,0.5840975046157837,0.4131084680557251,0.5743618607521057,0.38177439999999996,0.425808,0.35899059999999994,0.521327,41.383495145631066
Porch,0-3-5-18-21,0-21-3-5-18,0.43738165497779846,0.6039843559265137,0.44403865933418274,0.6084221005439758,0.5342532,0.624264,0.6040433999999999,0.638491,4.444444444444445
Pots,0-6-8-9-16,0-8-16-9-6,0.6014728546142578,0.7486019730567932,0.6044914126396179,0.7510428428649902,0.6133744,0.642892,0.6116195999999999,0.661958,11.400966183574878
Printing_area,0-2-8-22-23,0-8-2-23-22,0.594535231590271,0.7415041327476501,0.5704445838928223,0.722395658493042,0.5836768,0.628557,0.6867422000000001,0.716546,13.391984359726294
Zen,0-1-6-9-15,0-6-15-9-1,0.4267721176147461,0.5882641077041626,0.44751083850860596,0.6087222099304199,0.4197844,0.547535,0.5368168,0.584978,24.830917874396135
