scene,combo,greedy_order,miou_online,f1_online,miou_replay,f1_replay,uniform_mean,uniform_best,all25_mean,oracle5,map_percentile
Cantina,0-6-14-16-23,0-16-23-14-6,0.40131813287734985,0.5519933104515076,0.36702877283096313,0.5204249024391174,0.43739039999999996,0.475131,0.565473,0.595493,1.0204081632653061
Garden,0-7-17-18-21,0-17-21-18-7,0.4972919523715973,0.6635884046554565,0.4981774389743805,0.66432785987854,0.4805244,0.511207,0.45202780000000004,0.553556,27.500000000000004
Lounge,0-9-15-16-23,0-9-23-16-15,0.5279415249824524,0.6890199780464172,0.5274987816810608,0.6886392831802368,0.5388144,0.572164,0.5345088,0.605091,7.149758454106281
Lunch_room,0-3-17-19-21,0-3-19-21-17,0.3545588552951813,0.5074234008789062,0.34112879633903503,0.4930954873561859,0.32338999999999996,0.382403,0.3713742,0.429341,32.463768115942024
Meeting_room,0-1-17-18-19,0-17-18-19-1,0.40301063656806946,0.5671588778495789,0.3604132831096649,0.5195517539978027,0.5035608,0.531582,0.515137,0.567788,0.0
Playground,0-15-17-18-20,0-15-20-18-17,0.424694299697876,0.5841270685195923,0.4130951762199402,0.574351966381073,0.3817744,0.425808,0.35899059999999994,0.521327,41.383495145631066
Porch,0-3-5-18-21,0-21-3-5-18,0.43738123774528503,0.6039850115776062,0.4440096318721771,0.6083943247795105,0.5342532,0.624264,0.6040433999999999,0.638491,4.444444444444445
Pots,0-6-8-9-16,0-8-16-9-6,0.6014792919158936,0.74860680103302,0.6044951677322388,0.7510455250740051,0.6133744,0.642892,0.6116195999999999,0.661958,11.400966183574878
Printing_area,0-2-8-22-23,0-8-2-23-22,0.5945265889167786,0.7414975166320801,0.570451021194458,0.7224015593528748,0.5836768,0.628557,0.6867422000000001,0.716546,13.391984359726294
Zen,0-1-6-9-15,0-6-15-9-1,0.4267737865447998,0.5882661938667297,0.44751593470573425,0.6087256073951721,0.4197844,0.547535,0.5368168,0.584978,24.830917874396135
