scene,combo,greedy_order,miou_online,f1_online,miou_replay,f1_replay,uniform_mean,uniform_best,all25_mean,oracle5,map_percentile
Cantina,0-3-5-10-22,0-22-5-10-3,0.41347676515579224,0.5764233469963074,0.41521796584129333,0.5781186819076538,0.43739040000000007,0.475131,0.565473,0.595493,4.7309833024118735
Garden,0-3-4-6-7,0-7-4-3-6,0.5044688582420349,0.6701370477676392,0.4994814395904541,0.665873646736145,0.4805244,0.511207,0.45202780000000004,0.553556,28.653846153846153
Lounge,0-4-18-21-24,0-24-4-21-18,0.5662450194358826,0.7227134704589844,0.5671033263206482,0.7232537865638733,0.5388144,0.572164,0.5345088,0.605091,43.47826086956522
Lunch_room,0-2-11-21-22,0-22-21-2-11,0.31363001465797424,0.45926299691200256,0.35386812686920166,0.5038618445396423,0.32339,0.382403,0.3713742,0.429341,40.0
Meeting_room,0-3-5-13-16,0-5-13-3-16,0.4292040169239044,0.5897657871246338,0.4498855471611023,0.6119265556335449,0.5035608,0.531582,0.515137,0.567788,3.2850241545893724
Playground,0-1-3-5-23,0-3-23-1-5,0.40461647510528564,0.5602168440818787,0.41511639952659607,0.5725514888763428,0.3817744,0.425808,0.35899059999999994,0.521327,42.83980582524271
Porch,0-6-7-17-19,0-19-6-17-7,0.45799675583839417,0.6181426048278809,0.4486612379550934,0.6078874468803406,0.5342532,0.624264,0.6040433999999999,0.638491,4.734299516908213
Pots,0-2-11-15-17,0-2-11-17-15,0.621962308883667,0.7635747790336609,0.6204679012298584,0.7619282603263855,0.6133744,0.642892,0.6116195999999999,0.661958,37.971014492753625
Printing_area,0-11-13-17-21,0-13-11-21-17,0.5987018942832947,0.7359132170677185,0.5985801219940186,0.736371636390686,0.5836767999999999,0.628557,0.6867422000000001,0.716546,26.295210166177906
Zen,0-7-11-18-21,0-18-7-11-21,0.5205569267272949,0.6766300797462463,0.5148729085922241,0.6725317239761353,0.4197844,0.547535,0.5368168,0.584978,50.91787439613527
