method,budget,seed,miou_selected,f1_selected,miou_query,f1_query
uniform,5,0,0.5110560655593872,0.6705487966537476,0.5030872821807861,0.6684450507164001
uniform,10,0,0.4718579649925232,0.6349973678588867,0.4648435115814209,0.6297784447669983
uniform,15,0,0.4943142235279083,0.658111035823822,0.47538039088249207,0.6380771398544312
uniform,20,0,0.4815447926521301,0.6409063339233398,0.44556137919425964,0.6040955185890198
random,5,0,0.520792543888092,0.6799065470695496,0.5091745853424072,0.6734881401062012
random,5,1,0.4389728903770447,0.596184253692627,0.4316803812980652,0.5997438430786133
random,5,2,0.4597187638282776,0.6117923855781555,0.4631299674510956,0.6270184516906738
random,10,0,0.48846155405044556,0.6482672095298767,0.4645841717720032,0.6277393102645874
random,10,1,0.4936976432800293,0.6564911603927612,0.4642336666584015,0.6270768046379089
random,10,2,0.44634658098220825,0.6062185764312744,0.4524848163127899,0.6156681180000305
random,15,0,0.497162789106369,0.6552873253822327,0.4605046510696411,0.6191991567611694
random,15,1,0.5234068632125854,0.6843241453170776,0.47992265224456787,0.642814040184021
random,15,2,0.4678460359573364,0.6291072964668274,0.47547248005867004,0.6362466216087341
