scene,seed,miou_query,f1_query,recorded_mean,regression_ok
Garden,0,0.442573,0.602115,0.452028,True
Meeting_room,1,0.510912,0.672090,0.515137,True
Meeting_room,0,0.512445,0.672888,0.515137,True
Cantina,0,0.567021,0.716614,0.565473,True
Cantina,1,0.559545,0.710382,0.565473,True
Porch,0,0.600423,0.742483,0.604043,True
Porch,2,0.594388,0.737721,0.604043,True
Porch,1,0.590967,0.733564,0.604043,True
Cantina,2,0.565238,0.715447,0.565473,True
Meeting_room,2,0.511156,0.672259,0.515137,True
Zen,0,0.536047,0.663020,0.536817,True
Zen,1,0.533340,0.660635,0.536817,True
Playground,2,0.360611,0.516665,0.358991,True
Zen,2,0.527528,0.653772,0.536817,True
Playground,0,0.357814,0.513558,0.358991,True
Playground,1,0.356532,0.511656,0.358991,True
Garden,0,0.446180,0.605327,0.452028,True
Garden,1,0.502545,0.656240,0.452028,True
Lounge,1,0.532694,0.689574,0.534509,True
Cantina,2,0.565191,0.715403,0.565473,True
Lounge,0,0.537763,0.694064,0.534509,True
Cantina,0,0.567102,0.716672,0.565473,True
Garden,2,0.455243,0.612002,0.452028,True
Cantina,1,0.559473,0.710322,0.565473,True
Lounge,2,0.532666,0.689434,0.534509,True
Lunch_room,0,0.374364,0.529546,0.371374,True
Meeting_room,1,0.511000,0.672178,0.515137,True
Meeting_room,0,0.512395,0.672845,0.515137,True
Lunch_room,2,0.372675,0.527812,0.371374,True
Lunch_room,1,0.375970,0.531334,0.371374,True
Meeting_room,2,0.511242,0.672359,0.515137,True
Playground,0,0.357851,0.513596,0.358991,True
Playground,2,0.360608,0.516659,0.358991,True
Playground,1,0.356535,0.511656,0.358991,True
Pots,0,0.618551,0.760761,0.611620,True
Porch,1,0.590983,0.733574,0.604043,True
Porch,0,0.600414,0.742481,0.604043,True
Porch,2,0.594374,0.737702,0.604043,True
Printing_area,0,0.685934,0.811279,0.686742,True
Pots,2,0.617297,0.759758,0.611620,True
Pots,1,0.609476,0.754043,0.611620,True
Printing_area,1,0.679105,0.806141,0.686742,True
Printing_area,2,0.678298,0.805541,0.686742,True
Zen,0,0.535991,0.662975,0.536817,True
Zen,1,0.533328,0.660624,0.536817,True
Zen,2,0.527480,0.653738,0.536817,True
