scene,method,seed,combo,greedy_order,miou_replay,f1_replay,first_frame_id,frame0_selected,frame0_global_rank,selection_seconds,replay_seconds,gctx_hash,gctx_build_seconds,manifest_path
Garden,kf_glu_dir,0,2-11-12-13-23,12-23-11-2-13,0.472507,0.637271,12,False,0.2916666666666667,44.1,31.0,b45d99852e224c44,29.0,outputs/change_nbv/keyframe/Garden/kf_glu_dir/ts0_20260720_142629/selection_manifest.json
Cantina,uniform,0,0-5-10-15-20,0-5-10-15-20,0.460296,0.620191,0,True,,0,38.9,,,
Cantina,dopt_seq_dir,0,0-3-5-10-22,0-22-5-10-3,0.415226,0.578126,0,True,,35.9,37.0,,,
Cantina,uniform,0,1-6-11-16-21,1-6-11-16-21,0.347043,0.504737,1,False,,0,68.4,,,
Cantina,kf_l_dir_gseed,0,9-10-16-17-22,9-16-17-10-22,0.517126,0.671522,9,False,0.9166666666666666,38.6,70.0,e33e4b33a1e4e381,32.4,outputs/change_nbv/keyframe/Cantina/kf_l_dir_gseed/ts0_20260720_143150/selection_manifest.json
Cantina,kf_g_dir,0,0-9-10-15-17,9-0-17-15-10,0.521299,0.671846,9,True,0.9166666666666666,37.9,81.8,e33e4b33a1e4e381,32.4,outputs/change_nbv/keyframe/Cantina/kf_g_dir/ts0_20260720_143150/selection_manifest.json
Cantina,kf_gl_dir,0,0-8-9-20-24,9-24-0-8-20,0.511268,0.662884,9,True,0.9166666666666666,44.3,86.1,e33e4b33a1e4e381,32.4,outputs/change_nbv/keyframe/Cantina/kf_gl_dir/ts0_20260720_143150/selection_manifest.json
Cantina,kf_gu_dir,0,0-9-11-15-17,9-17-0-15-11,0.496757,0.651550,9,True,0.9166666666666666,43.4,87.6,e33e4b33a1e4e381,32.4,outputs/change_nbv/keyframe/Cantina/kf_gu_dir/ts0_20260720_143150/selection_manifest.json
Cantina,kf_glu_nodir,0,4-5-6-15-21,4-15-5-21-6,0.408211,0.562737,4,False,0.375,46.5,87.5,e33e4b33a1e4e381,32.4,outputs/change_nbv/keyframe/Cantina/kf_glu_nodir/ts0_20260720_143150/selection_manifest.json
Cantina,kf_glu_dir,0,0-9-10-15-24,9-24-0-15-10,0.517339,0.668470,9,True,0.9166666666666666,49.0,85.2,e33e4b33a1e4e381,32.4,outputs/change_nbv/keyframe/Cantina/kf_glu_dir/ts0_20260720_143150/selection_manifest.json
Cantina,uniform,1,0-5-10-15-20,0-5-10-15-20,0.462467,0.622223,0,True,,0,62.1,,,
Cantina,uniform,0,2-7-12-17-22,2-7-12-17-22,0.441179,0.604657,2,False,,0,44.6,,,
Cantina,uniform,1,1-6-11-16-21,1-6-11-16-21,0.347437,0.504987,1,False,,0,36.7,,,
Cantina,dopt_seq_dir,1,0-3-5-10-22,0-22-5-10-3,0.414119,0.576825,0,True,,40.3,37.5,,,
Cantina,uniform,0,3-8-13-18-23,3-8-13-18-23,0.474503,0.634352,3,False,,0,36.7,,,
Cantina,kf_g_dir,1,0-9-10-15-17,9-0-17-15-10,0.519105,0.669707,9,True,0.9166666666666666,40.0,36.6,75adf5b8668f916f,33.9,outputs/change_nbv/keyframe/Cantina/kf_g_dir/ts1_20260720_143351/selection_manifest.json
Cantina,kf_l_dir_gseed,1,9-10-16-17-22,9-16-17-10-22,0.520991,0.674992,9,False,0.9166666666666666,37.4,37.3,75adf5b8668f916f,33.9,outputs/change_nbv/keyframe/Cantina/kf_l_dir_gseed/ts1_20260720_143400/selection_manifest.json
Cantina,uniform,1,2-7-12-17-22,2-7-12-17-22,0.444350,0.607911,2,False,,0,38.3,,,
Cantina,kf_gu_dir,1,0-9-10-15-17,9-17-10-0-15,0.519111,0.669711,9,True,0.9166666666666666,42.0,38.6,75adf5b8668f916f,33.9,outputs/change_nbv/keyframe/Cantina/kf_gu_dir/ts1_20260720_143400/selection_manifest.json
Cantina,kf_gl_dir,1,0-8-9-20-24,9-24-0-8-20,0.512328,0.663343,9,True,0.9166666666666666,42.5,38.2,75adf5b8668f916f,33.9,outputs/change_nbv/keyframe/Cantina/kf_gl_dir/ts1_20260720_143403/selection_manifest.json
Cantina,kf_glu_dir,1,0-9-10-15-24,9-24-0-15-10,0.516351,0.667387,9,True,0.9166666666666666,48.2,38.2,75adf5b8668f916f,33.9,outputs/change_nbv/keyframe/Cantina/kf_glu_dir/ts1_20260720_143403/selection_manifest.json
Cantina,uniform,0,4-9-14-19-24,4-9-14-19-24,0.467841,0.623906,4,False,,0,37.8,,,
Cantina,uniform,2,0-5-10-15-20,0-5-10-15-20,0.454891,0.615432,0,True,,0,38.6,,,
Cantina,uniform,1,3-8-13-18-23,3-8-13-18-23,0.472007,0.632057,3,False,,0,38.1,,,
Cantina,kf_glu_nodir,1,4-5-10-15-21,10-4-15-5-21,0.428026,0.580424,10,False,0.20833333333333334,47.4,38.0,75adf5b8668f916f,33.9,outputs/change_nbv/keyframe/Cantina/kf_glu_nodir/ts1_20260720_143456/selection_manifest.json
Cantina,uniform,2,1-6-11-16-21,1-6-11-16-21,0.346322,0.504037,1,False,,0,37.8,,,
Cantina,dopt_seq_dir,2,0-3-5-10-22,0-22-5-10-3,0.420384,0.583145,0,True,,35.2,37.3,,,
Cantina,uniform,1,4-9-14-19-24,4-9-14-19-24,0.469917,0.625983,4,False,,0,37.4,,,
Cantina,kf_g_dir,2,0-9-10-15-17,9-0-17-15-10,0.521971,0.672286,9,True,0.9166666666666666,37.5,37.7,be14f1124bb64bc4,32.8,outputs/change_nbv/keyframe/Cantina/kf_g_dir/ts2_20260720_143521/selection_manifest.json
