scene,phase,combo,miou_query,f1_query
Garden,uniform_off,0-5-10-15-20,0.507254,0.672406
Garden,uniform_off,1-6-11-16-21,0.478252,0.644988
Garden,uniform_off,2-7-12-17-22,0.501736,0.665824
Garden,uniform_off,3-8-13-18-23,0.468489,0.637077
Garden,uniform_off,4-9-14-19-24,0.469809,0.638077
Garden,local3,0-5-10-20-21,0.507356,0.672433
Lounge,uniform_off,0-5-10-15-20,0.488832,0.654757
Meeting_room,uniform_off,0-5-10-15-20,0.469883,0.633308
Cantina,uniform_off,0-5-10-15-20,0.451881,0.610218
Pots,uniform_off,0-5-10-15-20,0.557488,0.711219
Playground,uniform_off,0-5-10-15-20,0.432361,0.589002
Lunch_room,uniform_off,0-5-10-15-20,0.350272,0.500363
Porch,uniform_off,0-5-10-15-20,0.452299,0.616856
Lounge,uniform_off,1-6-11-16-21,0.478590,0.642050
Meeting_room,uniform_off,1-6-11-16-21,0.423388,0.588732
Cantina,uniform_off,1-6-11-16-21,0.359009,0.518963
Pots,uniform_off,1-6-11-16-21,0.549762,0.705144
Playground,uniform_off,1-6-11-16-21,0.408913,0.565302
Lounge,uniform_off,2-7-12-17-22,0.450487,0.616991
Porch,uniform_off,1-6-11-16-21,0.531910,0.675033
Meeting_room,uniform_off,2-7-12-17-22,0.499907,0.662868
Lunch_room,uniform_off,1-6-11-16-21,0.382198,0.532017
Cantina,uniform_off,2-7-12-17-22,0.422554,0.584555
Pots,uniform_off,2-7-12-17-22,0.531531,0.689846
Lounge,uniform_off,3-8-13-18-23,0.506810,0.670350
Playground,uniform_off,2-7-12-17-22,0.330469,0.468443
Porch,uniform_off,2-7-12-17-22,0.459700,0.615240
Meeting_room,uniform_off,3-8-13-18-23,0.485522,0.647588
Cantina,uniform_off,3-8-13-18-23,0.468234,0.630345
Pots,uniform_off,3-8-13-18-23,0.576317,0.724742
Lunch_room,uniform_off,2-7-12-17-22,0.296915,0.436704
Lounge,uniform_off,4-9-14-19-24,0.460470,0.628149
Playground,uniform_off,3-8-13-18-23,0.332717,0.475314
Meeting_room,uniform_off,4-9-14-19-24,0.501196,0.660646
Porch,uniform_off,3-8-13-18-23,0.453353,0.605179
Cantina,uniform_off,4-9-14-19-24,0.478273,0.635734
Pots,uniform_off,4-9-14-19-24,0.587610,0.736852
Playground,uniform_off,4-9-14-19-24,0.379842,0.535586
Lunch_room,uniform_off,3-8-13-18-23,0.329264,0.475908
Porch,uniform_off,4-9-14-19-24,0.593405,0.738686
Garden,local3,0-4-5-14-21,0.497173,0.663503
Lunch_room,uniform_off,4-9-14-19-24,0.269738,0.399430
Garden,local3,0-9-10-20-21,0.499198,0.665132
Garden,local3,0-3-5-10-21,0.492184,0.659089
Garden,local3,5-10-12-13-15,0.523888,0.686904
Lounge,local3,2-8-13-15-23,0.420627,0.588573
Meeting_room,local3,4-14-21-23-24,0.479278,0.640921
Garden,local3,5-9-10-12-19,0.479735,0.647098
Cantina,local3,4-9-14-20-24,0.469908,0.620252
Lounge,local3,3-8-10-13-23,0.508784,0.672662
Pots,local3,4-9-14-19-20,0.587459,0.736879
Meeting_room,local3,4-9-14-22-24,0.507550,0.666469
Garden,local3,0-1-13-15-24,0.402846,0.570476
Playground,local3,0-5-15-20-22,0.419191,0.576371
Porch,local3,9-14-17-19-24,0.552285,0.696939
Pots,local3,6-9-14-19-22,0.513928,0.675478
Cantina,local3,3-12-14-15-19,0.482208,0.643608
Lounge,local3,3-8-10-16-22,0.443202,0.609387
Meeting_room,local3,4-9-14-16-22,0.508697,0.667300
Garden,local3,5-10-12-15-16,0.531671,0.693417
Playground,local3,0-5-10-16-20,0.426857,0.581768
Porch,local3,4-14-19-20-24,0.536191,0.692698
Lounge,local3,3-6-8-10-13,0.514858,0.677719
Pots,local3,4-6-15-19-24,0.542537,0.700219
Cantina,local3,3-12-13-14-19,0.430854,0.588716
Meeting_room,local3,0-4-9-16-22,0.498835,0.659608
Garden,local3,5-7-8-10-21,0.512618,0.676428
Playground,local3,5-10-15-20-21,0.350550,0.504567
Lunch_room,local3,6-8-11-15-21,0.325626,0.465166
Porch,local3,0-4-9-19-24,0.472461,0.638644
Lounge,local3,5-6-8-10-24,0.510499,0.673979
Pots,local3,3-7-9-13-14,0.574139,0.725088
Cantina,local3,3-7-12-15-19,0.470215,0.633045
Meeting_room,local3,9-14-16-20-22,0.479615,0.640724
Garden,local3,5-12-15-16-24,0.516593,0.680539
Playground,local3,0-5-7-10-20,0.407634,0.561487
Lunch_room,local3,1-2-16-19-23,0.339744,0.488479
Porch,local3,4-8-9-14-19,0.562323,0.710556
Lounge,local3,3-5-8-10-14,0.504434,0.668633
Meeting_room,local3,4-6-14-16-17,0.448587,0.607704
Pots,local3,4-9-17-19-24,0.600925,0.747816
Cantina,local3,3-8-13-15-19,0.500838,0.659679
