scene,variant,norm,task,n_frames,auprc,auroc,effect_size,fp_rejection_at_recall0.95,fp_rejection_at_recall0.99,kept_frac_at_recall0.95,kept_frac_at_recall0.99,mean_fp,mean_separation,mean_tp,median_fp,median_tp,n_neg,n_pos,precision_at_recall0.95,precision_at_recall0.99,prevalence,top10_fp_retained,top10_iou,top10_precision,top10_recall,top10_tp_retained,top1_fp_retained,top1_iou,top1_precision,top1_recall,top1_tp_retained,top20_fp_retained,top20_iou,top20_precision,top20_recall,top20_tp_retained,top30_fp_retained,top30_iou,top30_precision,top30_recall,top30_tp_retained,top50_fp_retained,top50_iou,top50_precision,top50_recall,top50_tp_retained,top5_fp_retained,top5_iou,top5_precision,top5_recall,top5_tp_retained
Lounge,I0_raw_c,raw,tp_vs_fp,25,0.7180794061289881,0.3377207523203847,0.5765590188628837,0.18309585311863089,0.039388187999889905,0.8901714410658775,0.9795678151522635,0.658467309474945,0.05429704904556274,0.7127643585205078,0.6752149653434754,0.7304341697692871,4880.32,7878.96,0.6649978328472017,0.6315903403570933,0.6248870062782347,0.08442013806008854,0.11109452244729923,0.6920444158335846,0.11763872989712965,0.11763872989712965,0.014433892091174358,0.008512042953527265,0.4915455268102676,0.0085909340186862,0.0085909340186862,0.1381792310531152,0.22918701491947785,0.7446403038397311,0.2518847192294087,0.2518847192294087,0.1947512259270293,0.3302562986912052,0.7552760083059397,0.37802603190435774,0.37802603190435774,0.3414528137814272,0.4846851096275601,0.7351336492999982,0.5972271796669972,0.5972271796669972,0.05297299036907512,0.05113768524116498,0.6210933519294037,0.05300408042348418,0.05300408042348418
Lounge,I0_raw_c,raw,gt_all_pixels,25,0.651382773558953,0.03068413425473937,,0.8643788487478108,0.29348740615323715,0.14986835474930713,0.711514655244814,,,,,,561785.8,9750.2,0.21792555750534717,0.024513170845916712,0.017059642787156014,0.0852909424570221,0.1600763045398799,0.16149350876579066,0.941805027245899,0.941805027245899,0.0025893324847451604,0.38823758319687285,0.7452248468941381,0.45125182258664615,0.45125182258664615,0.18682703758402874,0.08144560702840682,0.08173147751231333,0.9548305110572128,0.9548305110572128,0.2884332701347553,0.05481397440174906,0.05491931109698415,0.9632143662338325,0.9632143662338325,0.4917039014354267,0.03332667609643198,0.03335180985974637,0.9756605125799434,0.9756605125799434,0.03470444805432862,0.3101365996225978,0.3174426986737586,0.925643991290139,0.925643991290139
Lounge,I0_raw_c,alpha,tp_vs_fp,25,0.6718346854304749,0.40283819015897726,0.2933931639705593,0.10462077693990675,0.05822744356922756,0.9169034241750736,0.9592213612524577,0.7167763161659241,0.019111318588256834,0.735887634754181,0.716237280368805,0.7407859635353088,4880.32,7878.96,0.6452492329246095,0.6420991581224955,0.6248870062782347,0.11096331536081404,0.09297456869717406,0.5959790688602393,0.10026082233390614,0.10026082233390614,0.013788195132583532,0.008760097554538562,0.5122063241043733,0.008840592949197446,0.008840592949197446,0.17315668474071227,0.2038313882003744,0.6811667392983075,0.22894024101055455,0.22894024101055455,0.23840260051623338,0.3017023684825148,0.7048678872369664,0.3532314298168181,0.3532314298168181,0.3988100613607646,0.44937174197067153,0.6985458499093946,0.5709592357259409,0.5709592357259409,0.06517632563590733,0.042871055183331654,0.5321086135377889,0.04482486235647337,0.04482486235647337
Lounge,I0_raw_c,alpha,gt_all_pixels,25,0.4518279354301806,0.031178922884603225,,0.9101855621982159,0.3478875531531794,0.10467813051146385,0.6579649225945522,,,,,,561785.8,9750.2,0.23986618510011298,0.02671873117893229,0.017059642787156014,0.08518232363885982,0.16125487960487464,0.1625649998250341,0.9509480555871203,0.9509480555871203,0.004914689763724431,0.2398947757105164,0.5167524059492563,0.3137350186902977,0.3137350186902977,0.1867647497774201,0.08176857969194966,0.08203907022317093,0.9601736014611788,0.9601736014611788,0.28839155776193826,0.05495498782143516,0.05505718501583451,0.9673162508700031,0.9673162508700031,0.49161578780070697,0.03350507324346701,0.03352551720276588,0.9820555371358701,0.9820555371358701,0.034684759984714104,0.3101329952146114,0.3178696154249921,0.9327370699548483,0.9327370699548483
Lounge,I1_beta_mean,raw,tp_vs_fp,25,0.7525368762825309,0.3304799969082359,0.6344644932192258,0.20900110644338063,0.04541098702862947,0.8807259781498115,0.9772516419177626,0.7651101374626159,0.057731518745422365,0.8228416562080383,0.7926745653152466,0.8377518391609192,4880.32,7878.96,0.672873982342667,0.6330481159503827,0.6248870062782347,0.05078687209006873,0.1316455650330102,0.8139018644939925,0.13684580629360593,0.13684580629360593,0.004400133353097892,0.014289512925535259,0.8431506177040569,0.014335579636775201,0.014335579636775201,0.12906283817646214,0.23894269734978818,0.7686548648124556,0.26071085223756635,0.26071085223756635,0.2044172810727551,0.33032557085898273,0.7516022800645302,0.37898860390533434,0.37898860390533434,0.3622512264173519,0.4750851362677414,0.7257560884603309,0.5928416877175343,0.5928416877175343,0.017040696388886268,0.07205170129366589,0.8725308936991878,0.07314577392982426,0.07314577392982426
Lounge,I1_beta_mean,raw,gt_all_pixels,25,0.6841920642939884,0.024718493517896983,,0.909629743602724,0.40477707345276814,0.10528050726463425,0.6021306794322667,,,,,,561785.8,9750.2,0.2790209439146317,0.030722217870461536,0.017059642787156014,0.08517638830867312,0.1613727442288174,0.1626195891801099,0.9487277051286149,0.9487277051286149,0.0026091903286394446,0.38839301823490824,0.7433700787401576,0.45332486488560014,0.45332486488560014,0.1866749365241439,0.08225202805727937,0.08247893829774204,0.9639795025422296,0.9639795025422296,0.2882719667708964,0.05537088865061961,0.0554477111413091,0.9728358917823137,0.9728358917823137,0.49156270118619183,0.03361321481360971,0.03362951765068167,0.9844944099653793,0.9844944099653793,0.03457246716522314,0.31344712574107964,0.320037792630437,0.9337035693173344,0.9337035693173344
Lounge,I1_beta_mean,alpha,tp_vs_fp,25,0.6884140224455851,0.4310330236806576,0.32838710703822527,0.14234002456136316,0.06908424235111336,0.9036248143624921,0.9556179193550072,0.8333739185333252,0.016711673736572265,0.8500855922698974,0.8391179704666137,0.8527475929260254,4880.32,7878.96,0.6554886918053063,0.6449169496079628,0.6248870062782347,0.06745065098953516,0.11897170645173873,0.7511215262731967,0.12505420924544458,0.12505420924544458,0.005292935302013192,0.01356363533495642,0.808185235519835,0.013619893929696321,0.013619893929696321,0.17543765925232335,0.20452265958003313,0.6836814203492113,0.22957385764712626,0.22957385764712626,0.27383662009259263,0.28728789861135773,0.6730358593527879,0.34091918982339997,0.34091918982339997,0.4654494727883847,0.4167860731017386,0.6598182822238243,0.544523765098198,0.544523765098198,0.02524460710266301,0.06608895052074336,0.8118983059690144,0.0674728050456365,0.0674728050456365
Lounge,I1_beta_mean,alpha,gt_all_pixels,25,0.5311350787600594,0.019552359754784733,,0.9647829793241034,0.6274926248954911,0.05087665518882449,0.3829971165420901,,,,,,561785.8,9750.2,0.3603268548163242,0.0835215371757405,0.017059642787156014,0.08477122631320924,0.16591986950870058,0.16660741155474681,0.9758006616538317,0.9758006616538317,0.004517205788605766,0.26255877294907903,0.5558145231846019,0.33700691327002785,0.33700691327002785,0.18635247696683613,0.08395690956007464,0.08406554279265487,0.9853266719653258,0.9853266719653258,0.2880426159044125,0.05616057573221106,0.05620030210951762,0.9884110789997201,0.9884110789997201,0.491471757225024,0.03379756030241737,0.03380868396741413,0.990966996171741,0.990966996171741,0.03434031760853729,0.3189958373379396,0.32462189872974767,0.9512244749134776,0.9512244749134776
Lounge,I2_mean_support,raw,tp_vs_fp,25,0.7531701596129801,0.32915110361274375,0.6548210225323552,0.21185261707697425,0.08700311975757585,0.8796109138263293,0.9486970656444678,0.7428108108043671,0.07832872033119202,0.821139531135559,0.7714466261863708,0.8360708260536194,4880.32,7878.96,0.6737324879924464,0.6493951190496604,0.6248870062782347,0.050856749875162,0.13162178852914072,0.8137015206498375,0.13682400615582255,0.13682400615582255,0.004415985649768507,0.01427015296169915,0.8423917300140448,0.014316618794963485,0.014316618794963485,0.1288018478195789,0.23911211972527852,0.7690949542804575,0.2608583752717309,0.2608583752717309,0.20399775007621915,0.33061456102118675,0.7520880589167356,0.3792378733310705,0.3792378733310705,0.36180366330847824,0.47579337516321696,0.7262924417422597,0.5940011921025935,0.5940011921025935,0.017125463274077796,0.07199624730857336,0.8719268998856936,0.07309338218468041,0.07309338218468041
Lounge,I2_mean_support,raw,gt_all_pixels,25,0.6902373391947293,0.022927222962022462,,0.9200082551414609,0.4091954504716886,0.09506039864505472,0.5977773578567229,,,,,,561785.8,9750.2,0.30160144689346385,0.03095507026915877,0.017059642787156014,0.0850933778360376,0.1622766343653533,0.16343842950624626,0.9553209829858941,0.9553209829858941,0.002606486062924341,0.3885975759264692,0.7436360454943132,0.4534945597492958,0.4534945597492958,0.18663844686494055,0.08244293666456304,0.08265880479760644,0.9667612210277842,0.9667612210277842,0.28825187696435517,0.055439713351537974,0.05551373198569937,0.9743579764752041,0.9743579764752041,0.49155375439716686,0.03363133004881473,0.033647154334985024,0.9851646036697044,0.9851646036697044,0.034429752112944634,0.31691532352353763,0.3228470448262588,0.9437327236781754,0.9437327236781754
