scene,frame,n_with,marginal,a_v,ceiling_gap,ceil_gap_z,resid_std,best_with,mean_with
Cantina,0,130,-0.01412,-0.01448,0.07269,1.83059,0.01968,0.52280,0.47135
Cantina,1,147,-0.01833,-0.02704,0.07522,1.89428,0.01974,0.52027,0.46793
Cantina,2,101,-0.04240,-0.04386,0.09604,2.41857,0.02139,0.49945,0.44534
Cantina,3,219,0.00221,-0.00214,0.04598,1.15795,0.02288,0.54951,0.48553
Cantina,4,170,-0.02155,-0.01545,0.05883,1.48154,0.02568,0.53666,0.46561
Cantina,5,117,-0.02454,-0.02612,0.07386,1.85983,0.02562,0.52164,0.46188
Cantina,6,88,-0.04096,-0.03652,0.04895,1.23257,0.03136,0.54655,0.44615
Cantina,7,162,-0.01707,-0.01488,0.00689,0.17348,0.03138,0.58861,0.46926
Cantina,8,178,0.00859,0.00796,0.00997,0.25119,0.02327,0.58552,0.49093
Cantina,9,331,0.01627,0.01421,0.03563,0.89714,0.01980,0.55987,0.49504
Cantina,10,279,0.00393,0.00537,0.04598,1.15795,0.01937,0.54951,0.48667
Cantina,11,108,-0.03245,-0.03378,0.07574,1.90732,0.02370,0.51975,0.45456
Cantina,12,356,0.01607,0.01139,0.00000,0.00000,0.02704,0.59549,0.49452
Cantina,13,148,-0.01079,-0.00999,0.05897,1.48492,0.02457,0.53653,0.47446
Cantina,14,238,0.00214,0.00224,0.01798,0.45288,0.02559,0.57751,0.48543
Cantina,15,387,0.01697,0.01426,0.00000,0.00000,0.02601,0.59549,0.49464
Cantina,16,285,0.00940,0.00796,0.02494,0.62802,0.02249,0.57056,0.49068
Cantina,17,415,0.02328,0.01795,0.00000,0.00000,0.02284,0.59549,0.49808
Cantina,18,211,-0.00490,-0.00354,0.02571,0.64751,0.02551,0.56978,0.47982
Cantina,19,119,-0.01597,-0.01444,0.03686,0.92829,0.02494,0.55863,0.46956
Cantina,20,384,0.01932,0.01473,0.00000,0.00000,0.02609,0.59549,0.49620
Cantina,21,239,-0.00389,-0.00860,0.00000,0.00000,0.02959,0.59549,0.48074
Cantina,22,170,-0.00245,-0.00452,0.03394,0.85471,0.02122,0.56155,0.48170
Cantina,23,194,0.00104,-0.00214,0.01458,0.36718,0.02517,0.58091,0.48462
Cantina,24,214,-0.00143,-0.00081,0.00553,0.13938,0.02404,0.58996,0.48262
Garden,0,113,-0.01666,-0.02018,0.03211,1.27710,0.01094,0.52145,0.49710
Garden,1,511,0.01810,0.01271,0.00000,0.00000,0.01033,0.55356,0.52115
Garden,2,190,0.00350,0.00563,0.00000,0.00000,0.01088,0.55356,0.51481
Garden,3,102,-0.01718,-0.01773,0.00939,0.37351,0.01539,0.54417,0.49645
Garden,4,402,0.01066,0.00539,0.00000,0.00000,0.01154,0.55356,0.51848
Garden,5,207,0.00661,0.00533,0.00164,0.06504,0.01355,0.55192,0.51724
Garden,6,221,0.00419,0.00513,0.00168,0.06687,0.01095,0.55188,0.51525
Garden,7,338,0.01030,0.00783,0.00244,0.09694,0.00910,0.55112,0.51890
