scene,context,candidate,combo,miou_query,f1_query
Zen,S0,3,3,0.217720,0.342317
Zen,S0,6,6,0.265815,0.411149
Zen,S0,1,1,0.487458,0.647745
Zen,S0,7,7,0.261293,0.401292
Zen,S0,4,4,0.072684,0.133372
Zen,S0,5,5,0.482796,0.634703
Zen,S0,2,2,0.510014,0.666375
Zen,S0,0,0,0.455593,0.617955
Zen,S0,8,8,0.341160,0.492400
Zen,S0,9,9,0.409645,0.571019
Zen,S0,10,10,0.422370,0.575625
Zen,S0,11,11,0.369328,0.514935
Zen,S0,12,12,0.469121,0.631124
Zen,S0,15,15,0.432965,0.595956
Zen,S0,13,13,0.188685,0.299361
Zen,S0,16,16,0.453283,0.606600
Zen,S0,14,14,0.477605,0.638618
Zen,S0,17,17,0.336730,0.492887
Zen,S0,19,19,0.441942,0.602752
Zen,S0,18,18,0.412493,0.564415
Zen,S0,20,20,0.524908,0.679201
Zen,S0,21,21,0.319546,0.474524
Zen,S0,24,24,0.386508,0.541690
Zen,S1,1,1-12,0.508493,0.666353
Zen,S0,22,22,0.475323,0.635807
Zen,S0,23,23,0.540536,0.695351
Zen,S1,-1,12,0.469122,0.631124
Zen,S1,0,0-12,0.500977,0.660524
Zen,S1,2,2-12,0.516636,0.672254
Zen,S1,3,3-12,0.283547,0.430315
Zen,S1,4,4-12,0.141624,0.240142
Zen,S1,5,5-12,0.500358,0.652703
Zen,S1,6,6-12,0.299634,0.453129
Zen,S1,7,7-12,0.310057,0.460756
Zen,S1,8,8-12,0.386670,0.543097
Zen,S1,9,9-12,0.432578,0.595202
Zen,S1,10,10-12,0.458965,0.615974
Zen,S1,11,11-12,0.507409,0.661458
Zen,S1,13,12-13,0.326944,0.464153
Zen,S1,14,12-14,0.465668,0.627283
Zen,S1,15,12-15,0.499554,0.660583
Zen,S1,16,12-16,0.508634,0.668728
Zen,S1,17,12-17,0.488709,0.649983
Zen,S1,18,12-18,0.495432,0.656310
Zen,S1,19,12-19,0.508114,0.669285
Zen,S1,20,12-20,0.494088,0.654529
Zen,S1,21,12-21,0.488983,0.651042
Zen,S1,22,12-22,0.514678,0.675270
Zen,S1,23,12-23,0.501437,0.662017
Zen,S1,24,12-24,0.467461,0.629356
Zen,S2,-1,6-18,0.291028,0.440279
Zen,S2,0,0-6-18,0.393419,0.552679
Zen,S2,2,2-6-18,0.425294,0.591960
Zen,S2,1,1-6-18,0.401725,0.567792
Zen,S2,3,3-6-18,0.282915,0.432054
Zen,S2,4,4-6-18,0.224446,0.351640
Zen,S2,7,6-7-18,0.302968,0.453623
Zen,S2,5,5-6-18,0.448584,0.598421
Zen,S2,8,6-8-18,0.327019,0.480223
Zen,S2,9,6-9-18,0.349864,0.510455
Zen,S2,11,6-11-18,0.341992,0.502479
Zen,S2,10,6-10-18,0.339717,0.499942
Zen,S2,12,6-12-18,0.340153,0.499782
Zen,S2,13,6-13-18,0.292545,0.436388
Zen,S2,15,6-15-18,0.340003,0.498887
Zen,S2,14,6-14-18,0.337940,0.498857
Zen,S2,16,6-16-18,0.337348,0.491923
Zen,S2,17,6-17-18,0.319543,0.473099
Zen,S2,20,6-18-20,0.336424,0.492158
Zen,S2,19,6-18-19,0.330159,0.484133
Zen,S2,21,6-18-21,0.336086,0.490628
Zen,S2,22,6-18-22,0.334973,0.489278
Porch,S0,0,0,0.314514,0.458538
Zen,S2,23,6-18-23,0.337946,0.493702
Zen,S2,24,6-18-24,0.329624,0.484197
Porch,S0,1,1,0.424152,0.548559
Porch,S0,4,4,0.286400,0.422119
Porch,S0,2,2,0.399870,0.538869
Porch,S0,3,3,0.306064,0.441590
Porch,S0,5,5,0.246815,0.379175
Porch,S0,6,6,0.259877,0.398948
Porch,S0,7,7,0.280453,0.427590
Porch,S0,8,8,0.414559,0.542575
Porch,S0,9,9,0.420467,0.546751
