scene,context,method,spearman,top1_regret,top3_capture,pred_best,oracle_best
Zen,S0,max_cue_area,-0.6069,0.4679,0,4,23
Zen,S0,max_alpha,0.3286,0.128,1,18,23
Zen,S0,candidate_only,0.1877,0.221,0,21,23
Zen,S0,fisher_ratio,0.1877,0.221,0,21,23
Zen,S0,trace_reduction,-0.0262,0.0629,0,14,23
Zen,S0,dopt_pose,0.1923,0.0629,1,14,23
Zen,S1,max_cue_area,-0.7487,0.375,0,4,2
Zen,S1,max_alpha,0.3836,0.0212,0,18,2
Zen,S1,candidate_only,0.4557,0.0277,0,21,2
Zen,S1,fisher_ratio,-0.4365,0.375,0,4,2
Zen,S1,trace_reduction,-0.4678,0.375,0,4,2
Zen,S1,dopt_pose,-0.4035,0.051,0,14,2
Zen,S2,max_cue_area,-0.5583,0.2241,0,4,5
Zen,S2,max_alpha,0.2101,0.1456,0,7,5
Zen,S2,candidate_only,0.3745,0.1125,0,21,5
Zen,S2,fisher_ratio,-0.0534,0.2241,0,4,5
Zen,S2,trace_reduction,0.0099,0.2241,0,4,5
Zen,S2,dopt_pose,0.0395,0.1106,0,14,5
Porch,S0,max_cue_area,0.4185,0.1757,0,6,10
Porch,S0,max_alpha,0.0154,0.1902,0,21,10
Porch,S0,candidate_only,0.2223,0.0403,0,19,10
Porch,S0,fisher_ratio,0.2223,0.0403,0,19,10
Porch,S0,trace_reduction,-0.1338,0.121,0,0,10
Porch,S0,dopt_pose,-0.02,0.121,0,0,10
Porch,S1,max_cue_area,0.3487,0.1819,1,6,10
Porch,S1,max_alpha,0.1261,0.1089,0,21,10
Porch,S1,candidate_only,0.3496,0.0682,0,19,10
Porch,S1,fisher_ratio,-0.6165,0.1089,0,21,10
Porch,S1,trace_reduction,-0.7035,0.1628,0,7,10
Porch,S1,dopt_pose,-0.6843,0.1628,0,7,10
Porch,S2,max_cue_area,-0.1453,0.0303,1,11,21
Porch,S2,max_alpha,0.4743,0.0,1,21,21
Porch,S2,candidate_only,0.1986,0.0219,1,19,21
Porch,S2,fisher_ratio,-0.1709,0.1184,0,0,21
Porch,S2,trace_reduction,-0.0494,0.1184,0,0,21
Porch,S2,dopt_pose,-0.0237,0.1184,0,0,21
Garden,S0,max_cue_area,-0.0485,0.1911,0,23,18
Garden,S0,max_alpha,-0.0069,0.0527,0,17,18
Garden,S0,candidate_only,-0.22,0.0,1,18,18
Garden,S0,fisher_ratio,-0.22,0.0,1,18,18
Garden,S0,trace_reduction,-0.0631,0.0709,0,12,18
Garden,S0,dopt_pose,0.0008,0.1165,1,22,18
Garden,S1,max_cue_area,0.0322,0.0538,0,23,1
Garden,S1,max_alpha,-0.0174,0.0244,0,17,1
Garden,S1,candidate_only,-0.1617,0.0107,1,18,1
Garden,S1,fisher_ratio,-0.0148,0.0127,0,2,1
Garden,S1,trace_reduction,-0.0652,0.0538,0,23,1
Garden,S1,dopt_pose,0.1757,0.0049,1,8,1
Garden,S2,max_cue_area,-0.0998,0.0487,0,23,19
Garden,S2,max_alpha,0.2134,0.0713,1,17,19
Garden,S2,candidate_only,-0.004,0.0713,0,17,19
Garden,S2,fisher_ratio,-0.1057,0.0258,0,12,19
Garden,S2,trace_reduction,-0.1413,0.0258,0,12,19
Garden,S2,dopt_pose,-0.1196,0.0258,0,12,19
